title,album,year
Moody Ballad of Ed,Spinning Man,
In Memory,Ed Sheeran - EP,
I’m Glad I’m Not You,Want Some? - EP,
She Looks So Perfect,,2018.0
The A Team (Acoustic),The A Team (Remixes),
Way Home,Ed Sheeran - EP,
Sara,Want Some? - EP,
Happier (Acoustic),,
Grow Back,,
Smile,Want Some? - EP,
The A Team (Live at the Bedford),Live at the Bedford,2010.0
You Need Me,,
Diary,,
Ed Sheeran - Don’t/Loyal/No Diggity/The Next Episode/Nina,,2014.0
Yellow Pages,Want Some? - EP,
Last Night,,
Shape of You (Berywam Remix),Covers,2017.0
You Need to Cut Your Hair,Want Some? - EP,
Take It Back (SBTV extended version),,2014.0
Beyond the Pale,Ed Sheeran - EP,
The West Coast of Clare,Want Some? - EP,
The City (Live at the Bedford),Live at the Bedford,2010.0
Misery,Spinning Man,
Beautiful People (Acoustic),,2019.0
Typical Average,Spinning Man,
Don’t (Don Diablo Remix),Reconstructions,2014.0
Castle on the Hill (Nevada Remix),,2017.0
Insomniac’s Lullaby,Ed Sheeran - EP,
I Never Fell,,2009.0
Postcards,Want Some? - EP,
Forever,,
Take It Back / Superstition / Ain’t No Sunshine,,
Fall (Live at the Bedford),Live at the Bedford,2010.0
Shape of You (NOTD Remix),,2017.0
Sunburn - deluxe edition,,
I’m In Love With The Coco (Hitimpulse Remix Lyrics),,
Bonus Track,Ed Sheeran - EP,
Scars,,
Quiet Ballad of Ed,Ed Sheeran - EP,
The City (Remix),,
Pause,Ed Sheeran - EP,
The Sea,Ed Sheeran - EP,
Billy Ruskin,Ed Sheeran - EP,
Saturday,,
I Can’t Spell,Want Some? - EP,
Small Bump - Live From Wembley Stadium,,
Give Me Love (New Machine Remix),Give Me Love (Remixes),2012.0
Fall Down,,
Thinking Out Loud (Alex Adair Remix),,2014.0
I See Fire (Kygo Remix),,
Oh No,,
Spark,Ed Sheeran - EP,
Sing - Live and in Session,Live and in Session,
Homeless (Live at the Bedford),Live at the Bedford,2010.0
Lately - devlin,,
South of the Border (Sam Feldt Remix),,2019.0
Galway Girl (Decoy! Remix),,
No Luck,Ed Sheeran - EP,
Firefly (Bravado Dubstep Remix),Loose Change - EP,
Skinny Love (Cover),,2018.0
Beautiful People (NOTD Remix),,2019.0
Two Blokes and a Double Bass,Want Some? - EP,
Best Part of Me (Live At Abbey Road),,2019.0
Hold On,,
I See Fire - Live and in Session,Live and in Session,2014.0
Undone,,2010.0
Ag Smaoineamh Os Ard,Ceol 2016,
Dirrty (cover),,2015.0
You Break Me 2,Want Some? - EP,
These dreams,,
"You Need Me, I Don’t Need You (Gemini Remix)","You Need Me, I Don’t Need You (Remixes)",
Stevensong,Ed Sheeran - EP,
The A Team (KOAN Sound Remix),The A Team (Remixes),2011.0
One - Live and in Session,Live and in Session,
Little Bird - Deluxe Edition,,
Beautiful People (Live At Abbey Road),,2019.0
Cross Me (M-22 Remix),,2019.0
