title,album,year
Nothing is Promised (SOPHIE Remix) [Young Thug Version],Unreleased Songs,
World Peace,Unreleased Songs,2015.0
Hypnotized,Music of the Sun (Japanese Edition)  ,2005.0
Bubble Pop,,
Hole in My Head,Rated R,2009.0
Whipping My Hair,Unreleased Songs,
Should I?,Music of the Sun (UK Edition)  ,2005.0
Work (Lost Kings Remix),Work (Dance Remixes)  ,2016.0
Sex with Me (MK Remix),Sex with Me (Dance Remixes),2017.0
My Name Is Rihanna,This Is Rihanna (The Mixtape),
Hurricane,This Is Rihanna (The Mixtape),
It Just Don’t Feel Like Xmas (Without You),Now That’s What I Call Christmas! 3 Disc 2,
Who Ya Gonna Run To?,A Girl Like Me,2006.0
Coulda Been the One,A Girl Like Me,2006.0
Consideration (MK Remix),Consideration (Dance Remixes),2017.0
A Child Is Born,Now That’s What I Call Christmas! 4 [US],2010.0
No Pressure*,R9,
Here We Go,This Is Rihanna (The Mixtape),
Needed Me (Salva Remix),Needed Me (Dance Remix),2016.0
Petty Nonsense,Unreleased Songs,
The Hotness,Unreleased Songs,
We Found Love (Calvin Harris Extended Mix),Talk That Talk,
Bitch Better Have My Money (GTA Remix),,2015.0
What Now (R3hab Trapped Out Remix),What Now (Remixes Part 2),2013.0
Kiss It Better (R3hab Remix),Kiss It Better (Dance Remix),2016.0
Hate That I Love You (Spanglish Version),Premonición Live,2008.0
Pon de Replay (Full Phatt Remix),A Girl Like Me,2006.0
Tip Pon Toe,Unreleased Songs,
Is This Love,Stripped: Raw & Real,
"Get Up, Stand Up",This Is Rihanna (The Mixtape),
Needed Me (R3hab Remix),Needed Me (Dance Remix),2016.0
Work (Bad Royale Remix) [Clean],Work (Dance Remixes)  ,2016.0
Consideration (James Carter Remix),Consideration (Dance Remixes),2017.0
Love on the Brain (RY X Remix),Love on the Brain (Dance Remixes),2016.0
Desperado (MK Remix),Desperado (Dance Remixes) ,2017.0
Rude Boy (Serbian),,2010.0
Redemption Song (For Haiti Relief) [Live from Oprah],,2010.0
Umbrella (Music Video Version),Good Girl Gone Bad (Japanese Deluxe Edition),2007.0
Sex with Me (Addal Remix),Sex with Me (Dance Remixes),2017.0
Sex with Me (Salva Remix),Sex with Me (Dance Remixes),2017.0
Needed Me (W&W Remix),Needed Me (Dance Remix),2016.0
Russian Roulette (Donni Hotwheel Remix),Rated R,2009.0
Desperado (Andrelli Remix),Desperado (Dance Remixes) ,2017.0
Consideration (Mangal Suvarnan Remix),Consideration (Dance Remixes),2017.0
Pose (Eva Shaw Remix),Pose (Dance Remixes),2017.0
Umbrella (Seamus Haji & Paul Emanuel),Good Girl Gone Bad: The Remixes,2009.0
We Found Love (Chuckie Extended Remix),We Found Love (The Remixes),2011.0
Diamonds (Dave Audé 100 Edit),Diamonds (Remixes),2012.0
Umbrella (Lindbergh Palace Remix),Good Girl Gone Bad (French Edition),2007.0
Unfaithful (Music Video Version),A Girl Like Me (German Deluxe Edition Bonus Disc),2006.0
Work (Bad Royale Remix),Work (Dance Remixes)  ,2016.0
Desperado (Fairlane Remix),Desperado (Dance Remixes) ,2017.0
SOS (Music Video Version),A Girl Like Me (German Deluxe Edition Bonus Disc),2006.0
Pose (Deadly Zoo Remix),Pose (Dance Remixes),2017.0
Hate That I Love You (Mandarin Version),Urban Emotions,2009.0
You da One (Almighty Club),You da One (Remixes),2011.0
Sex with Me (John Blake Remix),Sex with Me (Dance Remixes),2017.0
Only Girl (In the World) [Extended Club],,
Sex with Me (DEVAULT Remix),Sex with Me (Dance Remixes),2017.0
Work (R3HAB Extended Remix),Work (Dance Remixes)  ,2016.0
Stay (Kygo Edit),,2013.0
Rude Boy (AZ2A Remix),This Is Rihanna (The Mixtape),2010.0
Consideration (Stafford Brothers Remix),Consideration (Dance Remixes),2017.0
S&M (Dave Audé Radio),S&M (Remixes),2011.0
Desperado (3LAU Remix),Desperado (Dance Remixes) ,2017.0
Take a Bow (Tony Moran & Warren Riggs),Good Girl Gone Bad: The Remixes,2009.0
Rude Boy (Chew Fu Vitamin S Fix),Rated R: Remixed,2010.0
Don’t Stop The Music (Jody den Broeder),Good Girl Gone Bad: The Remixes,2009.0
Diamonds (Jacob Plant Dubstep Remix),Diamonds (Remixes),2012.0
Consideration (Dirty South Remix),Consideration (Dance Remixes),2017.0
Hate That I Love You (K-Klassic Remix),Good Girl Gone Bad (Japanese Deluxe Edition),2007.0
Love on the Brain (John Blake Remix),Love on the Brain (Dance Remixes),2016.0
Disturbia (Jody den Broeder Remix),Disturbia (Remixes),2008.0
Diamonds (Gregor Salto Radio Edit),Diamonds (Remixes),2012.0
Joyride,Unreleased Songs,
Disturbia (Jody den Broeder),Good Girl Gone Bad: The Remixes,2009.0
Pose (Far East Movement Remix),Pose (Dance Remixes),2017.0
Umbrella (Seamus Haji & Paul Emanuel Club Remix),Good Girl Gone Bad (Japanese Deluxe Edition),2007.0
Hate That I Love You (Solo Version),Unreleased Songs,
Consideration (Will Clarke Remix),Consideration (Dance Remixes),2017.0
Russian Roulette (Chew Fu Black Russian Fix),Rated R: Remixed,2010.0
Don’t Stop the Music (The Wideboys Club Mix),Good Girl Gone Bad (Japanese Deluxe Edition),2007.0
Stupid In Love (Chew Fu Small Room Fix),Rated R: Remixed,2010.0
Where Have You Been? (Hardwell Club Mix),Where Have You Been? (Remixes),2012.0
Hard (Chew Fu Granite Fix),Rated R: Remixed,2010.0
Diamonds (Congorock Remix),Diamonds (Remixes),2012.0
My Life,Unreleased Songs,
Hate That I Love You (Cantonese Version),Urban Emotions,2009.0
Shut Up And Drive (The Wideboys),Good Girl Gone Bad: The Remixes,2009.0
Pose (Salva Remix),Pose (Dance Remixes),2017.0
Right Now (Dyro Radio Edit),Right Now (Remixes),2013.0
What Now (R3hab Remix),What Now (Remixes),2013.0
Unfaithful (Tony Moran Radio Mix),Unfaithful (Remixes),2006.0
Diamonds (The Bimbo Jones Vocal Remix),Diamonds (Remixes),2012.0
S&M (Sidney Samson Club),S&M (Remixes),2011.0
Wait Your Turn (Chew Fu Can’t Wait No More Fix),Rated R: Remixed,2010.0
Take a Bow (Subkulcha Club),Take a Bow (Remixes),2008.0
Work (BURNS’ Late Night Rollin Remix),Work (Dance Remixes)  ,2016.0
Lying Down,Unreleased Songs,
Needed Me (ATTLAS Remix),Needed Me (Dance Remix),2016.0
Breakin’ Dishes (Soul Seekerz),Good Girl Gone Bad: The Remixes,2009.0
Don’t Stop the Music (Solitaire’s More Drama Remix),Don’t Stop the Music (Remixes),
