title,album,year
Billie Eilish - idontwannabeyouanymore (Türkçe Çeviri),,
You should see me in a crown (中文翻譯/Chinese Transcription),,2019.0
​ocean eyes (Live at Third Man Records),Live at Third Man Records,2019.0
Six Feet Under[killer frost remix],,2016.0
Hostage[killer frost remix],,2017.0
​bad guy (Live at Third Man Records),Live at Third Man Records,2019.0
Bad guy (Topic Remix),,2022.0
​i love you (Live at Third Man Records),Live at Third Man Records,2019.0
​when the party’s over (Live at Third Man Records),Live at Third Man Records,2019.0
​come out and play (Live at Third Man Records),Live at Third Man Records,2019.0
​idontwannabeyouanymore (Live at Third Man Records),Live at Third Man Records,2019.0
​bellyache (Live at Third Man Records),Live at Third Man Records,2019.0
COPYCAT (Live at Third Man Records),Live at Third Man Records,2019.0
​bury a friend (Live at Third Man Records),Live at Third Man Records,2019.0
