title,album,year
​god is a woman (live),​k bye for now (swt live),2019.0
​​breathin (live),​k bye for now (swt live),2019.0
​bad idea (live),​k bye for now (swt live),2019.0
Grenade,,2011.0
Rollercoaster,Unreleased Songs,
"​break up with your girlfriend, i’m bored (live)",​k bye for now (swt live),2019.0
Them Changes (BBC Radio 1 Live Lounge),BBC Radio 1's Live Lounge 2018,2018.0
Not Afraid of Love,Unreleased Songs,2015.0
​tattooed heart (live),​k bye for now (swt live),2019.0
​successful (live),​k bye for now (swt live),2019.0
Almost Is Never Enough (Soundtrack Version),The Mortal Instruments: City of Bones (Original Motion Picture Soundtrack),2013.0
​goodnight n go (live),​k bye for now (swt live),2019.0
​on top of everything*,Unreleased Songs,2016.0
​needy (live),​k bye for now (swt live),2019.0
​dangerous woman (live),​k bye for now (swt live),2019.0
I Don’t Want To Be Alone For Christmas,Unreleased Songs,
​be alright (live),​k bye for now (swt live),2019.0
​only 1 (live),​k bye for now (swt live),2019.0
​sweetener (live),​k bye for now (swt live),2019.0
​love me harder (live),​k bye for now (swt live),2019.0
One Last Time (Fedez Remix),,2015.0
34+35 (Remix) (Clean),,2021.0
​in my head interlude (live),​k bye for now (swt live),2019.0
Side to Side (Slushii Remix),Side to Side (Remixes),2017.0
​everytime (live),​k bye for now (swt live),2019.0
Born This Way / Express Yourself,,
​nasa (live),​k bye for now (swt live),2019.0
​fake smile (live),​k bye for now (swt live),2019.0
​make up (live),​k bye for now (swt live),2019.0
​get well soon (live),​k bye for now (swt live),2019.0
​break free (live),​k bye for now (swt live),2019.0
​​no tears left to cry (live),​k bye for now (swt live),2019.0
​you’ll never know (live),​k bye for now (swt live),2019.0
Better Days - Live from One Love Manchester,One Love Manchester,2017.0
​right there (live),​k bye for now (swt live),2019.0
It Ain’t Right,Unreleased Songs,
​the light is coming (live),​k bye for now (swt live),2019.0
Feminism (Quotes),,
Only Girl (In the World),,
​into you (live),​k bye for now (swt live),2019.0
Stick Together,,2020.0
Let Me Love You / Baby Loves,,2017.0
Just For Now,,2013.0
More,Unreleased Songs,
Focus (Meaning),,
​lovin’ you lately,,2017.0
The Way (JdB Radio Edit),,2013.0
Into You (3LAU Remix),,2016.0
