title,album,year
Such a Rush,The Singles 1999-2006,1998.0
2000 Miles,Sweet Tracks 2003,2003.0
1.36,The Singles 1999-2006,2002.0
Believe in Love,,
Easy to Please,Brothers & Sisters,1999.0
One I Love,Live 2003,2002.0
Amor Argentina (Live In Buenos Aires),Live In Buenos Aires,2018.0
WOTW / POTP (Live In Jordan Version),,2019.0
Imagine,,
Lethal Drug,,
Colour Spectrum (Live In Buenos Aires),Live In Buenos Aires,2018.0
The World Turned Upside Down,The Singles 1999-2006,2005.0
A L I E N S (Markus Dravs Remix),,2017.0
Live Forever,,
Lovers in Japan (Osaka Sun Mix),Prospekt’s March [EP],2008.0
Adventure of a Lifetime (Matoma Remix),Hakuna Matoma,2016.0
Ladder to the Sun,Unreleased Songs,
Don Quixote,Unreleased Songs,
Everybody Hurts,,
Only Superstition,Brothers & Sisters,1999.0
Murder,The Singles 1999-2006,2003.0
The Goldrush,,2009.0
No More Keeping My Feet on the Ground,Safety [EP],1998.0
Proof,Speed of Sound,2005.0
Ode to Deodorant,Ode to Deodorant / Brothers + Sisters,1998.0
Death Will Never Conquer,LeftRightLeftRightLeft,2008.0
Till Kingdom Come,,
Sleeping Sun,Talk,2005.0
I Bloom Blaum,In My Place,2002.0
Have Yourself a Merry Little Christmas,Mince Spies [EP],2001.0
Everglow (Live in Buenos Aires),Live In Buenos Aires,2018.0
In My Place (Live in Buenos Aires),Live In Buenos Aires,2018.0
Up&Up (Live in Buenos Aires),Live In Buenos Aires,2018.0
Every Teardrop Is a Waterfall (Coldplay vs. Swedish House Mafia),Until Now (Deluxe Edition),2012.0
Houston #1,Unreleased Songs,2017.0
A Sky Full of Stars (Hardwell Remix),100 Greatest Workout Songs: Top Tracks for the Gym,2014.0
A Ghost,Unreleased Songs,
Harmless,Unreleased Songs,
Christmas With the Kangaroos,Unreleased Songs,2016.0
What a Wonderful World,,
How You See the World No. 2,Help!: A Day in the Life,2005.0
A Spell a Rebel Yell,Violet Hill,2008.0
Nothing Compares 2 U,,
Major minus - single version,,
Gone But Not F. Cotton,Unreleased Songs,
God Put a Smile Upon Your Face (Live In Buenos Aires),Live In Buenos Aires,2018.0
Fix You (Live In Buenos Aires),Live In Buenos Aires,2018.0
Paradise (Tiësto Remix),Live in Madrid,2011.0
De Música Ligera (Live In Buenos Aires),Live In Buenos Aires,2018.0
Adventure of a Lifetime (Audien Remix),Adventure of a Lifetime - Audien Remix,2016.0
Idiot,Unreleased Songs,2001.0
Billie Jean,,
Lhuna,,2008.0
Up&Up (Freedo Remix),100 Greatest Workout Songs: Top Tracks for the Gym,2016.0
Midnight (Giorgio Moroder Remix),Midnight (Remixes),2014.0
The Scientist (Live In Buenos Aires),Live In Buenos Aires,2018.0
Hymn for the Weekend (Live in Buenos Aires),Live In Buenos Aires,2018.0
We Found Love,,
Viva La Vida (Live In Buenos Aires),Live In Buenos Aires,2018.0
Something Just Like This (Live In Buenos Aires),Live In Buenos Aires,2018.0
Earth Angel (Will You Be Mine),,
I’ll See You Soon,,
Bloodless Revolution,Unreleased Songs,
Solid Ground,Unreleased Songs,
Gold in Them Hills,,
You Only Live Twice (Live from Norway),The Singles 1999-2006,2001.0
