title,album,year
Panty Party,Unreleased Songs,2017.0
Dirty Ice Cream,New Material (Mixtape),2006.0
Free Woman (Demo),Unreleased Songs,2020.0
MANiCURE (Demo),Unreleased Songs,2017.0
SuperStar,Unreleased Songs,
Red and Blue,Red and Blue - EP,2006.0
Sexy Ugly,Unreleased Songs,
Greatest,Unreleased Songs,
Stupid Love (Ellis Remix),Chromatica,2020.0
Blueberry Kisses,Unreleased Songs,
Stache (High Princess),Unreleased Songs,
Fancy Pants,New Material (Mixtape),2006.0
Fever,New Material (Mixtape),2006.0
Sexxx Dreams (Demo),Unreleased Songs,2013.0
November,,2019.0
Captivated,Unreleased Songs,
No Floods,Red and Blue - EP,2006.0
Let Love Down,New Material (Mixtape),
Bloody Mary - The Horrors Remix,Born This Way: The Remix,
Onion Girl,Artpop Act II (Scrapped),
Applause (Demo),Unreleased Songs,2017.0
Filthy Pop,Unreleased Songs,
Wish You Were Here,Red and Blue - EP,2006.0
Retro Physical,Unreleased Songs,2010.0
Living on the Radio,Unreleased Songs,
We Are Plastic,Unreleased Songs,2007.0
Sire,Artpop Act II (Scrapped),
"Baby, It’s Cold Outside",,
Orange Colored Sky (Live),A Very Gaga Holiday,2011.0
Ribbons,Unreleased Songs,2019.0
Posh Life,Unreleased Songs,2013.0
Million Reasons (Work Tape),Joanne,
Retrosexual,Unreleased Songs,2017.0
Shake Ur Kitty,New Material (Mixtape),2006.0
Oh Well,Unreleased Songs,2018.0
Changing Skies,Unreleased Songs,
Deep Blue,Unreleased Songs,
Something Crazy,Red and Blue - EP,2006.0
Temple,Artpop Act II (Scrapped),2021.0
Just Dance (Demo),Unreleased Songs,
ACT I BTWB,,
Do What U Want (DJWS Remix),,2013.0
Trigger (Demo),Unreleased Songs,
Born This Way - Jost & Naaf Remix,Born This Way,2011.0
In Like With You,Artpop Act II (Scrapped),
Take You Out,Unreleased Songs,
Shut Up (Demo),Unreleased Songs,2018.0
Electric Kiss,Unreleased Songs,
The Edge of Glory (Live),A Very Gaga Holiday,
Candy in Control (Demo),Unreleased Songs,
Telephone (Demo/Solo Version),Unreleased Songs,
Imagine,,
Kandy Life,Unreleased Songs,
Love Sick Girl (Demo),Unreleased Songs,
Drivin’ In Circles (Demo),Unreleased Songs,
Scheiße (DJ White Shadow Mugler),Born This Way (International Special Edition Version),2011.0
Words,Red and Blue - EP,2006.0
ACT 2,,
Applause (Empire of the Sun Remix),ARTPOP,2013.0
Poker Face - Live at The Cherrytree House Piano & Voice Version,The Remix,2009.0
Marry the Night - The Weeknd & Illangelo Remix,Born This Way: The Remix,
Bad Romance (Skrillex Remix),Bad Romance (The Remixes Pt. 1 & 2),2009.0
New York (Demo),Unreleased Songs,2018.0
Sometimes (Demo),Unreleased Songs,
