song_a,album_a,song_b,album_b,similarity
Firework,Teenage Dream,Lost,Fingerprints [Shelved],0.6257
Firework,Teenage Dream,Lost (MTV Unplugged),MTV Unplugged,0.6014
The One That Got Away,Teenage Dream,Part of Me,Teenage Dream: The Complete Confection,0.6184
The One That Got Away,Teenage Dream,One of the Boys,Fingerprints [Shelved],0.6664
The One That Got Away,Teenage Dream,Fingerprints,Fingerprints [Shelved],0.6292
The One That Got Away,Teenage Dream,The One That Got Away (Acoustic),Teenage Dream: The Complete Confection,0.981
The One That Got Away,Teenage Dream,The One That Got Away / Thinking of You,,0.8628
The One That Got Away,Teenage Dream,The One That Got Away (Remix),,0.8004
The One That Got Away,Teenage Dream,Part of Me (Demo Version),,0.6229
The One That Got Away,Teenage Dream,The One That Got Away (7th Heaven Club Mix),The One That Got Away (The Remixes) - EP,0.8467
The One That Got Away,Teenage Dream,The One That Got Away (Tommie Sunshine & Disco Fries Club Mix),The One That Got Away (The Remixes) - EP,0.8727
The One That Got Away,Teenage Dream,The One That Got Away (Mixin Marc & Tony Svejda Peak Hour Club Mix),The One That Got Away (The Remixes) - EP,0.9283
The One That Got Away,Teenage Dream,The One That Got Away (R3hab Club Mix),The One That Got Away (The Remixes) - EP,0.9335
The One That Got Away,Teenage Dream,The One That Got Away (Plastic Plates Club Mix),The One That Got Away (The Remixes) - EP,0.7287
The One That Got Away,Teenage Dream,Teenage Dream (Vandalism V8 Vocal Remix),Teenage Dream - Remix EP,0.6052
Rise,NOW That’s What I Call Music! 60 [US],Who Am I Living For?,Teenage Dream,0.6143
Rise,NOW That’s What I Call Music! 60 [US],Rise (Purity Ring Remix),Rise Remixes - EP,0.8161
Rise,NOW That’s What I Call Music! 60 [US],Rise (Monsieur Adi Radio Edit),Rise Remixes - EP,0.9406
Rise,NOW That’s What I Call Music! 60 [US],Rise (TĀLĀ Remix),Rise Remixes - EP,0.8123
Rise,NOW That’s What I Call Music! 60 [US],Reborn,,0.6416
E.T. (Remix),Teenage Dream: The Complete Confection,California Gurls,Teenage Dream,0.644
E.T. (Remix),Teenage Dream: The Complete Confection,E.T.,Teenage Dream,0.7632
E.T. (Remix),Teenage Dream: The Complete Confection,Dark Horse (Pitbull Remix),,0.6347
E.T. (Remix),Teenage Dream: The Complete Confection,Freedom (Spirit),Unreleased Songs,0.6057
E.T. (Remix),Teenage Dream: The Complete Confection,Swish Swish (Valentino Khan Remix),,0.6073
E.T. (Remix),Teenage Dream: The Complete Confection,E.T (Tinie Tempah Remix),Foreign Object,0.8471
E.T. (Remix),Teenage Dream: The Complete Confection,Dark Horse (Remix),,0.6229
E.T. (Remix),Teenage Dream: The Complete Confection,California Gurls (Passion Pit Main Mix),,0.6354
E.T. (Remix),Teenage Dream: The Complete Confection,California Gurls (Demo),,0.6399
E.T. (Remix),Teenage Dream: The Complete Confection,Dark Horse (Elephante Remix),,0.6314
E.T. (Remix),Teenage Dream: The Complete Confection,E.T. (Benny Benassi Radio Edit),E.T. (The Remixes) - EP,0.7299
E.T. (Remix),Teenage Dream: The Complete Confection,E.T. (Noisia Remix),E.T. (The Remixes) - EP,0.7371
E.T. (Remix),Teenage Dream: The Complete Confection,E.T. (Tiësto Remix) [Club Edit],E.T. (The Remixes) - EP,0.7149
E.T. (Remix),Teenage Dream: The Complete Confection,California Gurls (Manhattan Clique Long Beach Mix),California Gurls (The Remixes) - EP,0.6241
E.T. (Remix),Teenage Dream: The Complete Confection,E.T. (Johnson Somerset & John Monkman Remix),E.T. (The Remixes) - EP,0.7639
E.T. (Remix),Teenage Dream: The Complete Confection,E.T. (Dave Audé Remix) [Radio Edit],E.T. (The Remixes) - EP,0.7549
I Kissed a Girl,One of the Boys,I Kissed a Girl (Remix),,0.7054
I Kissed a Girl,One of the Boys,I Kissed a Girl (The Knocks Remix),I Kissed a Girl (Remixes) - EP,0.8965
I Kissed a Girl,One of the Boys,I Kissed a Girl (Dr. Luke & Benny Blanco Remix),The Hello Katy Australian Tour EP,0.6535
I Kissed a Girl,One of the Boys,I Kissed a Girl (Rock Remix),I Kissed a Girl (Remixes) - EP,1.0
I Kissed a Girl,One of the Boys,I Kissed a Girl (MTV Unplugged),MTV Unplugged,0.9919
I Kissed a Girl,One of the Boys,I Kissed a Girl (Jason Nevins Funkrokr Extended Mix),I Kissed a Girl - EP,0.9275
I Kissed a Girl,One of the Boys,I Kissed a Girl (Dr. Luke and Benny Blanco Extended Mix),I Kissed a Girl (Remixes) - EP,0.6548
I Kissed a Girl,One of the Boys,I Kissed a Girl (Jason Nevins Funkrokr Edit),I Kissed a Girl (Remixes) - EP,1.0
California Gurls,Teenage Dream,Dark Horse (Urban Remix),,0.6305
California Gurls,Teenage Dream,Swish Swish (Radio Edit),,0.6115
California Gurls,Teenage Dream,Dark Horse (Pitbull Remix),,0.6187
California Gurls,Teenage Dream,This Is How We Do (Remix),,0.731
California Gurls,Teenage Dream,Chained to the Rhythm (BoatMix),,0.6258
California Gurls,Teenage Dream,Chained to the Rhythm (Hot Chip Remix),NOW That’s What I Call A Workout 2018,0.6088
California Gurls,Teenage Dream,Tommie Sunshine’s Megasix Smash-Up,Teenage Dream: The Complete Confection,0.7944
California Gurls,Teenage Dream,Swish Swish (Cheat Codes Remix),,0.6245
California Gurls,Teenage Dream,California Gurls (Solo Version),,0.8481
California Gurls,Teenage Dream,E.T (Tinie Tempah Remix),Foreign Object,0.6547
California Gurls,Teenage Dream,Dark Horse (Remix),,0.6216
California Gurls,Teenage Dream,Bon Appétit (3LAU Remix),,0.6041
